Lat_Deg,Lat_Min,Lat_Sec,Lon_Deg,Lon_Min,Lon_Sec
56,10,23.2,-111,5,27.32
56,43,50.08,-117,23,43.95
50,48,25.33,-115,19,46.14
49,33,12.39,-110,17,49.03
49,21,23.37,-111,52,53.71
49,22,8.07,-112,38,30.37
49,19,55.93,-113,37,36.68
49,39,10.47,-114,31,38.24
50,17,8.89,-110,41,45.15
50,8,38.87,-111,59,0.32
50,10,28.2,-112,18,54.28
50,24,21.83,-113,28,12.38
50,31,40.68,-114,17,36.97
51,22,58.25,-111,11,29.18
51,45,5.42,-110,33,19.08
51,11,12.41,-112,18,24.48
51,24,20.47,-113,45,2.26
51,13,16.39,-114,45,5.67
52,17,43.9,-110,11,31.7
52,4,30.84,-111,39,24.51
52,31,28.01,-112,51,35.09
52,33,53.43,-113,58,58.01
52,39,26.08,-114,12,0.59
52,47,57.52,-115,32,36.48
52,58,52.84,-117,21,19.5
53,14,21.46,-110,9,56.26
53,46,34.01,-111,15,4.78
53,58,3.02,-112,43,6.97
53,20,38.31,-113,51,41.24
53,28,40.93,-114,47,8.52
53,44,9.55,-115,46,23.71
54,20,21.35,-110,22,50.04
54,32,27.47,-111,22,27.42
54,16,1.94,-112,16,54.97
54,1,27.76,-113,20,29.63
54,29,11.2,-114,5,44.29
54,8,54.01,-115,2,18.86
55,8,15.03,-115,20,51.03
55,27,34.56,-116,25,55.42
55,26,15.63,-117,11,53.67
55,22,11.69,-118,21,57.8
55,32,57.34,-119,1,54.1
49,31,53.19,-110,41,10.84
49,46,32.85,-111,31,22.75
49,27,9.06,-112,24,11.11
49,48,52.53,-113,45,2.09
50,46,44.81,-111,58,49.7
50,27,56.32,-112,51,23.23
50,3,45.3,-113,25,17.06
50,17,50.59,-114,11,43.24
51,26,25.41,-111,55,13.37
51,28,39.25,-110,26,55.34
51,18,36.96,-112,0,23.33
51,23,9.64,-113,9,9.17
51,22,46.54,-114,16,21.61
52,0,47.71,-110,45,31.39
52,0,41.12,-111,49,33.21
52,49,15.48,-112,3,41.96
52,44,37.2,-113,12,2.65
52,24,55.69,-114,25,47.86
52,33,29.97,-115,45,42.46
53,59,51.02,-110,58,53.18
53,27,7.44,-111,7,28.77
53,18,56.85,-112,47,38.1
53,8,54.17,-113,12,25.41
53,23,9.31,-114,38,35.91
53,33,9.66,-115,26,23.7
54,34,58.96,-110,45,41.17
54,24,51,-111,28,25.26
54,42,27.99,-112,23,7.2
54,37,55.39,-113,25,14.73
54,19,52.96,-114,28,35.38
55,27,35.73,-116,19,12.81
55,59,35.05,-117,9,44.42
55,48,28.63,-118,7,34.19
55,15,7.01,-119,58,47.54
49,58,6.08,-113,55,25.11
50,56,33.81,-112,9,6.91
52,13,56.01,-113,14,2.96
53,2,37.39,-114,10,3.14
54,14,34.95,-114,3,27.56
55,7,32.08,-116,46,26.27
51,27,9.23,-112,51,44.73
53,38,56.9,-112,52,28.93
36,19,26.99,-113,19,34.68
36,43,48.97,-112,3,8.8
36,29,15.09,-111,36,19.24
36,26,6.26,-110,24,21.66
36,31,6.77,-109,26,45.09
35,51,27.92,-114,20,55.54
35,31,58.96,-113,14,50.31
35,46,48.13,-112,57,1.93
35,23,24.92,-111,42,16.39
35,47,59.88,-110,30,43.32
35,39,54.63,-109,9,16.66
34,54,27.34,-114,26,51.46
34,35,36.42,-113,47,52.04
34,40,6.24,-112,23,39.46
34,51,8.37,-111,25,26.99
34,40,16.85,-110,14,17.87
34,40,13.91,-109,26,32.5
33,33,29.13,-114,6,43.42
33,53,53.98,-113,53,42.69
33,41,34.13,-112,17,10.9
33,1,13.1,-111,9,41.12
33,53,25.44,-110,53,30.11
33,42,11.42,-109,8,30.1
32,51,59.42,-114,24,58.6
32,50,20.46,-113,44,14.48
32,20,19.53,-112,46,55.76
32,56,43.41,-111,20,8.58
32,2,19.6,-110,18,41.1
32,29,31.79,-109,22,33.69
31,58,51.02,-112,55,35.59
31,23,5.89,-111,5,21.51
31,31,27.23,-110,48,55.58
31,49,56.37,-109,42,17.19
36,17,10.34,-113,4,30.03
36,18,40.74,-112,2,11.48
36,54,44.63,-111,27,11.74
36,23,46.94,-110,52,49.61
36,22,10.25,-109,37,7.77
35,7,28.48,-114,35,26.63
35,25,20.02,-113,48,38.7
35,2,15.36,-112,9,3.19
35,9,44.41,-111,56,53.68
35,17,2.82,-110,21,20.28
35,35,25.23,-109,51,59.52
34,14,50.76,-113,36,23.83
34,46,46.94,-112,37,54.14
34,21,37.84,-111,6,12.61
34,42,30.74,-110,46,52.65
34,7,15.15,-109,52,3.16
33,13,2.36,-114,40,44.93
33,17,5.67,-112,56,34.89
33,20,1.81,-112,40,12.13
33,49,58.59,-111,38,18.53
33,10,2.54,-110,32,53.1
33,52,52.4,-109,10,28.6
32,51,53.24,-114,28,41.77
32,10,42.04,-112,16,2.46
32,34,4.07,-111,19,58.11
32,32,1.93,-110,30,23.15
32,42,38.57,-109,44,19.64
32,24,34.26,-112,56,53.13
31,43,10.85,-111,3,53.65
31,57,17.87,-110,57,2.13
31,38,20.59,-109,28,46
36,41,15.91,-113,27,34.36
36,36,53.65,-111,4,41.91
36,17,23.35,-109,11,15.74
35,51,29.9,-114,40,0.17
35,27,41.75,-113,0,39.71
35,18,32.81,-112,50,31.97
34,44,38.02,-111,27,39.1
34,29,0.43,-110,21,45.21
33,53,39.79,-113,53,10.84
33,4,4.85,-111,14,30.31
33,48,6.84,-110,53,36
33,42,2.01,-109,8,37.27
32,57,30.65,-111,20,40.27
31,58,52.46,-112,55,39.12
31,59,49.7,-109,12,26.53
32,21,27.4,-112,49,18.22
35,51,45.35,-114,40,7.97
31,55,34.26,-109,55,23.07
31,36,34.07,-109,13,28.79
33,18,9.52,-91,53,42.7
33,10,2.68,-91,19,27.45
33,54,19.94,-92,36,10.38
33,35,24.37,-92,42,47.68
33,22,59.52,-93,29,27.85
33,40,11.99,-93,41,39
33,42,22.91,-94,8,6.17
34,56,58.34,-90,30,40.92
34,43,15.99,-91,42,21.5
34,3,51.86,-91,30,55.01
34,37,56.47,-92,46,0.13
34,21,10.54,-92,38,24.71
34,3,15.15,-93,15,5.6
34,42,45.19,-93,5,50.38
34,59,22.12,-94,4,9.34
35,32,41.35,-90,40,50.03
35,31,14.49,-90,16,38.97
35,19,12.88,-91,21,26.2
35,54,31.07,-91,21,13.53
35,38,20.01,-92,43,18.59
35,34,11.9,-92,12,56.62
35,25,35.9,-93,36,5.68
35,49,46.24,-93,4,44.54
35,22,0.88,-94,20,18.07
36,27,9.93,-90,56,36.78
36,6,5.01,-91,45,22.15
36,24,18.47,-92,6,16.28
36,6,20.99,-93,17,58.74
36,24,11.97,-94,7,28.25
33,56,23.01,-92,35,0.84
34,38,4.5,-91,33,37.47
34,42,47.93,-92,47,40.51
34,49,56.12,-93,14,7.18
35,31,18.8,-90,16,43.4
35,37,17.29,-93,17,11.21
35,14,26.01,-93,20,58.56
35,41,8.1,-93,49,50.46
33,41,15.65,-92,36,20.09
48,52,45.46,-123,52,14.25
48,26,12.41,-124,2,15.49
49,3,4.09,-114,32,41.01
49,27,8.59,-115,30,36.69
49,17,0.77,-116,45,29.18
49,11,31.76,-117,10,57.52
49,59,47.97,-118,20,41.58
49,27,4.33,-119,3,37.01
49,9,50.13,-120,40,47.37
49,17,32.65,-121,43,3.72
49,11,48.81,-122,31,38.4
49,24,16.16,-123,32,38.72
49,13,48.93,-124,54,20.78
49,28,39.68,-125,13,40.53
50,14,4.44,-114,58,35.33
50,15,31.39,-115,51,10.55
50,51,5.3,-116,28,43.58
50,4,43.02,-117,15,49.42
50,25,29.66,-118,46,8.19
50,40,51.02,-119,20,10.34
50,17,7.69,-120,40,23.37
50,1,6.16,-121,2,22.42
50,46,8.46,-122,12,16.84
50,4,4.91,-125,6,15.96
50,12,36.59,-126,30,14.41
50,43,42.52,-127,52,35.1
